PERIODO,REGION,CANAL,FABRICANTE,CATEGORIA,MARCAS,SUBCATEGORIA,EMPAQUES,TAMANIOS,PRECIO_PROMEDIO,VENTA_LITROS,VENTA_VALOR,DIST_NUM_TIENDAS_HANDLING,DIST_POND_TIENDAS_HANDLING,PERIODO_raw,PERIODO_date,date,serie_id
45962,ANTIOQUIA,SUPERETES,POSTOBON,BEBIDAS LACTEAS,BILAC,AVENA,CAJA ASEPTICA,200-249 CC,NA,NA,NA,0,NA,45962,2025-11-01,2025-11-01,ANTIOQUIA | SUPERETES | POSTOBON | BEBIDAS LACTEAS | BILAC | AVENA | CAJA ASEPTICA | 200-249 CC
45962,SANTANDERES,SUPERETES,OTROS FABRICANTES,BEBIDAS LACTEAS,OTRAS MARCAS,YOG CTE + REF LACTEO,VASO,150-199 CC,6666.7902000000004,3.0851999999999999,20568.381000000001,0.28541775000000003,0.5776,45962,2025-11-01,2025-11-01,SANTANDERES | SUPERETES | OTROS FABRICANTES | BEBIDAS LACTEAS | OTRAS MARCAS | YOG CTE + REF LACTEO | VASO | 150-199 CC
45962,ANTIOQUIA,CONS LOCAL,ALPINA,BEBIDAS LACTEAS,BON YURT,ADICIONES,VASO,150-199 CC,26199.129099999998,61948.968200000003,1623009016.6456001,40.171032250000003,95.632900000000006,45962,2025-11-01,2025-11-01,ANTIOQUIA | CONS LOCAL | ALPINA | BEBIDAS LACTEAS | BON YURT | ADICIONES | VASO | 150-199 CC
45962,EJE CAFETERO,SUPER CADENA,ALPINA,LECHE SABORIZADA,ALPIN,CHOCOLATE,BOLSA,150-199 CC,12198.5363,5196.3347999999996,63387678.897600003,41.281830810000002,34.192399999999999,45962,2025-11-01,2025-11-01,EJE CAFETERO | SUPER CADENA | ALPINA | LECHE SABORIZADA | ALPIN | CHOCOLATE | BOLSA | 150-199 CC
45931,ANTIOQUIA,SUPER CADENA,COLANTA,BEBIDAS LACTEAS,COLANTA,LIGHT,BOTELLA,1000-1500 CC,13643.997799999999,17.999400000000001,245583.77429999999,0.75964430999999999,4.4863,45931,2025-10-01,2025-10-01,ANTIOQUIA | SUPER CADENA | COLANTA | BEBIDAS LACTEAS | COLANTA | LIGHT | BOTELLA | 1000-1500 CC
45931,EJE CAFETERO,CONS LOCAL,ALPINA,BEBIDAS LACTEAS,ALPINA,KUMIS,BOLSA,1000-1500 CC,8299.9989999999998,40.058300000000003,332483.84850000002,0.49984156000000002,0.39789999999999998,45931,2025-10-01,2025-10-01,EJE CAFETERO | CONS LOCAL | ALPINA | BEBIDAS LACTEAS | ALPINA | KUMIS | BOLSA | 1000-1500 CC
45901,SANTANDERES,SUPERETES,PRODUCTOS LACTEOS COLFRANCE,BEBIDAS LACTEAS,COLFRANCE,AVENA,BOLSA,200-249 CC,5791.6502,947.39750000000004,5486994.8887,2.8833679299999999,21.688500000000001,45901,2025-09-01,2025-09-01,SANTANDERES | SUPERETES | PRODUCTOS LACTEOS COLFRANCE | BEBIDAS LACTEAS | COLFRANCE | AVENA | BOLSA | 200-249 CC
45901,SANTANDERES,SUPERETES,OTROS FABRICANTES,BEBIDAS LACTEAS,OTRAS MARCAS,YOG CTE + REF LACTEO,VASO,150-199 CC,NA,NA,NA,0,NA,45901,2025-09-01,2025-09-01,SANTANDERES | SUPERETES | OTROS FABRICANTES | BEBIDAS LACTEAS | OTRAS MARCAS | YOG CTE + REF LACTEO | VASO | 150-199 CC
45901,CENTRO,CONS LOCAL,SURCOLAC,BEBIDAS LACTEAS,PUREZA,YOG CTE + REF LACTEO,BOLSA,150-199 CC,8666.6669000000002,456.05119999999999,3952443.8484,2.27259009,11.5451,45901,2025-09-01,2025-09-01,CENTRO | CONS LOCAL | SURCOLAC | BEBIDAS LACTEAS | PUREZA | YOG CTE + REF LACTEO | BOLSA | 150-199 CC
45901,CUNDI/BOYACA,SUPERETES,PL,LECHE LARGA VIDA,PL,ENTERA,BOLSA,751 - 900 CC,3850.5356999999999,23091.845700000002,88915977.058699995,6.0091991199999999,5.4535999999999998,45901,2025-09-01,2025-09-01,CUNDI/BOYACA | SUPERETES | PL | LECHE LARGA VIDA | PL | ENTERA | BOLSA | 751 - 900 CC
45870,ANTIOQUIA,CONS LOCAL,ALPINA,BEBIDAS LACTEAS,BON YURT,ADICIONES,VASO,150-199 CC,26202.076700000001,83867.827399999995,2197511245.1683998,40.637485509999998,96.009200000000007,45870,2025-08-01,2025-08-01,ANTIOQUIA | CONS LOCAL | ALPINA | BEBIDAS LACTEAS | BON YURT | ADICIONES | VASO | 150-199 CC
